no,smiles,exp,traintest,pred,type,err,cluster
44,CCCCCCCCC=CCCCCCCCC(=O)OC1(OC2(CO)OC(CO)C(O)C2O)OC(CO)C(O)C(O)C1O,0.7075701759999999,train,0.6024876,nonionic,0.0110423427996562,-1
45,CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,1.986771734,train,1.9484068,nonionic,0.0014718669692964,18
46,CCCCCC(=O)CC(=O)NC1CCOC1=O,3.336459734,train,3.279521,nonionic,0.0032420207431728,18
47,CCCCCCCCCCCC(=O)NC1CCOC1=O,0.602059991,train,0.59021795,nonionic,0.0001402339833635,18
48,CCCCCCCCCCCCCCCC(=O)NC1CCOC1=O,-0.795880017,train,-1.0323375,nonionic,0.0559121631856306,18
49,CCCCCCCCOCC(O)CO,3.763427994,train,3.7424865,nonionic,0.0004385471385252,0
50,CCCCCCCCOC1OC(CO)C(O)C(O)C1O,4.397940009,train,4.182318,nonionic,0.0464927599444711,2
51,CCCCOCC(O)C(O)C(O)CO,4.763427994,train,4.5831633,nonionic,0.0324953738144555,0
52,CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,3.255272505,train,3.188056,nonionic,0.0045180596028781,10
53,CCCCCCC(=O)OCC(O)C(O)C(O)CO,4.0,train,4.112757,nonionic,0.0127141874966127,10
54,CCCCCCCOCC(O)C(O)C(O)CO,3.963787827,test,3.9240732,nonionic,0.0015772500648191,0
55,CCCCCC(=O)OCC(O)C(O)C(O)CO,4.763427994,train,4.6680546,nonionic,0.0090960879666906,10
56,CCCCCCOCC(O)C(O)C(O)CO,3.973127854,train,3.817071,nonionic,0.0243537538532706,0
57,CCCCCCCCC(=O)OCC(O)C(O)C(O)CO,3.643452676,test,3.7066336,nonionic,0.0039918250899142,10
58,CCCCCCCCCOCC(O)C(O)C(O)CO,3.322219295,train,3.3658113,nonionic,0.0019002670813917,0
59,CCCCCCCC(=O)OCC(O)C(O)C(O)CO,4.255272505,train,3.9471827,nonionic,0.094919355466927,10
60,CCCCCCCCOCC(O)C(O)C(O)CO,3.826074803,train,3.838194,nonionic,0.0001468723529139,0
61,CCCCC(=O)OCC(O)C(O)C(O)CO,5.079181246,train,5.3023543,nonionic,0.0498062280041444,10
62,CCCCCOCC(O)C(O)C(O)CO,4.579783597,train,4.426637,nonionic,0.0234538272761895,0
63,CCCCSCC(O)C(O)C(O)CO,5.255272505,train,5.1625586,nonionic,0.0085958764127843,1
64,CCCCCSCC(O)C(O)C(O)CO,4.662757832,train,4.675654,nonionic,0.0001663094591426,1
65,CCCCCC(CCCC)OC1OC(CO)C(O)C(O)C1O,4.176091259,train,4.2541385,nonionic,0.0060913670974328,4
66,CCCCCCCC(CC)OC1OC(CO)C(O)C(O)C1O,3.929418926,train,3.9631906,nonionic,0.0011405229639827,4
67,CCCCCCCCC(C)OC1OC(CO)C(O)C(O)C1O,3.653212514,train,3.4748392,nonionic,0.0318170353978449,4
68,CCCCCCC(CCC)OC1OC(CO)C(O)C(O)C1O,4.079181246,test,4.2755446,nonionic,0.0385585838392948,4
69,CCCCCCCCCCCC(=O)OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,2.51851394,train,2.530078,nonionic,0.0001337259633641,5
70,CCCCCCCC(CCCCCC)SCCC(=O)OCC1(O)C(O)C(O)C(O)C1O,0.7993405490000001,train,0.7082222,nonionic,0.0083025516279017,-1
71,CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,3.826074803,train,3.606759,nonionic,0.0480993901491319,8
72,CCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,4.322219295,test,4.084682,nonionic,0.0564239723296656,8
73,CCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,4.838849091,train,4.714496,nonionic,0.0154636574889414,8
74,CCCCCCCCCCCC(=O)OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,2.977723605,train,2.9766302,nonionic,1.195510709381203e-06,5
75,CCCCCCCCCCCC(=O)OCC1OC(OCC2OC(OCC3OC(OC4(CO)OC(CO)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,3.361727836,train,3.2954545,nonionic,0.0043921547854636,5
76,CCCCCCCCCCCC(=O)OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,2.662757832,train,2.5583057,nonionic,0.0109102394487135,5
77,CCCCCCCCCCSCC(O)C(O)C(O)CO,2.602059991,train,2.5531292,nonionic,0.0023942226829899,1
78,CCCCCCCCCCSC1OC(=O)C(O)C1O,1.51851394,train,1.4228421,nonionic,0.0091530923650037,-1
79,CCCCCCSCC(O)C(O)C(O)CO,4.079181246,train,4.0485787,nonionic,0.0009365134245091,1
80,CCCCCCSC1OC(=O)C(O)C1O,3.826074803,test,3.963265,nonionic,0.0188211342852615,-1
81,CCCCCCCCSCC(O)C(O)C(O)CO,3.079181246,train,3.2846437,nonionic,0.0422147994800319,1
82,CCCCCCCCSC1OC(=O)C(O)C1O,2.681241237,train,2.5351217,nonionic,0.0213509251406813,-1
83,CCCCCCCC(=O)NC1C(O)OC(CO)C(O)C1O,4.653212514,train,4.471777,nonionic,0.0329188594278415,-1
84,CCCCCCCC(=O)NC1OC(CO)C(O)C(O)C1O,4.84509804,train,4.7938113,nonionic,0.0026303275192651,-1
85,CC(C)CCCC(C)CCOC1OC(CO)C(O)C(O)C1O,3.6020599910000004,train,3.5044785,nonionic,0.0095221562481667,-1
86,CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,3.72427587,train,3.6346426,nonionic,0.0080341229092629,-1
87,CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,3.698970004,train,3.6901383,nonionic,7.799828907358065e-05,-1
88,CCCCCCCCCOC1OC(CO)C(O)C(O)C1N,3.84509804,train,3.8915963,nonionic,0.0021620897910548,-1
89,CCCCCCCCOC1OC(CO)C(O)C(O)C1N,4.361727836,train,4.441546,nonionic,0.0063709334436601,-1
90,CCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,3.113943352,train,3.0483656,nonionic,0.0043004424811616,7
91,CCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.361727836,train,3.1523533,nonionic,0.0438377018765032,6
92,CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,2.146128036,train,2.01235,nonionic,0.017896540870083,7
93,CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.397940009,train,2.4062436,nonionic,6.89490040216181e-05,6
94,CCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.968482949,train,0.8577275,nonionic,0.0122667633654139,6
95,CCCCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.51851394,train,0.55290306,nonionic,0.0011826113092146,6
96,CCCCCCCCC=CCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,1.5051499780000002,train,1.5661364,nonionic,0.003719338809997,7
97,CCCCCCCCC=CCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.73239376,train,1.5869403,nonionic,0.0211567123586883,6
98,CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,1.380211242,train,1.0523192,nonionic,0.1075132115070583,7
99,CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.556302501,test,1.5175246,nonionic,0.0015037256037173,6
100,CCCCCCCCCCCC(=O)N(C)CC(O)CO,2.361727836,train,2.1329453,nonionic,0.0523414491681807,8
101,CCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)CO,2.556302501,train,2.4572825,nonionic,0.0098049520462045,8
102,CCCCCCCCCCOC1OC(CO)C(O)C(O)C1O,3.301029996,train,3.2366066,nonionic,0.0041503742227007,2
103,CCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,3.301029996,train,3.1383572,nonionic,0.0264624507668617,3
104,CCCCCCCCCCCCOC1OC(CO)C(O)C(O)C1O,2.278753601,train,1.9558178,nonionic,0.1042875195273914,2
105,CCCCCCCCC=CCCCCCCCC(=O)NCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1.954242509,train,1.7719548,nonionic,0.0332288180191467,-1
106,CCCCCCCCC=CCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1.301029996,train,1.2665284,nonionic,0.0011903623349115,3
107,CCCCCCCCC=CCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,1.62324929,train,1.5948428,nonionic,0.0008069291537744,3
108,CCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.113943352,train,2.89085,nonionic,0.0497706137502175,9
109,CCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.491361694,train,2.2651033,nonionic,0.0511928426873979,9
110,CCCCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,2.230448921,test,2.7744083,nonionic,0.2958918500128434,3
111,CCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.755874856,train,3.6405482,nonionic,0.0133002308450233,9
112,CCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.51851394,train,3.4745717,nonionic,0.0019309200287034,6
113,CCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.653212514,train,2.5671425,nonionic,0.0074080496214109,6
114,CCCCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.832508913,train,1.9703889,nonionic,0.0190108878680028,6
115,CCCCCCCCCOC1OC(CO)C(O)C(O)C1O,3.838849091,train,3.774548,nonionic,0.0041346233925248,2
116,CCCCCCCCSC1OC(CO)C(O)C(O)C1O,3.929418926,train,3.7845387,nonionic,0.0209902665915669,-1
117,CCCCCCOCCOCCOCCO,5.0,train,5.0821586,nonionic,0.0067500298885079,11
118,CCCCCCCCCCOCCOCCOCCO,2.77815125,train,2.5655937,nonionic,0.0451807037797311,11
119,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,1.939519253,train,1.8810171,nonionic,0.0034225032055445,11
120,CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,4.113943352,train,4.1129456,nonionic,9.955955791897271e-07,11
121,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.113943352,train,2.9097548,nonionic,0.0416929839155206,11
122,CCCCCCCC[N+](C)(C)C.[Br-],5.146128036,train,5.4264045,cationic,0.078554882911997,15
123,CCCCCCCCCC[N+](C)(C)C.[Br-],4.832508913,train,4.7157035,cationic,0.0136435074504754,15
124,CCCCCCCCCC[N+](C)(C)C.[Cl-],4.832508913,train,4.940871,cationic,0.0117422902908147,15
125,CCCCCCCCCCCC[N+](C)(C)C.[Br-],4.204119983,test,4.052776,cationic,0.0229050436172596,15
126,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],4.3010299960000005,train,4.2355,cationic,0.0042941988740851,15
127,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.556302501,train,3.5499678,cationic,4.012886995142992e-05,15
128,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],3.653212514,train,3.6717238,cationic,0.000342669287309,15
129,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],2.991226076,train,2.8383303,cationic,0.0233771278410339,15
130,CCCCCCCCCC[n+]1ccccc1.[Br-],4.643452676,train,4.590052,cationic,0.0028516185439876,19
131,CCCCCCCCCCC[n+]1ccccc1.[Br-],4.322219295,train,4.272711,cationic,0.0024510910602431,19
132,CCCCCCCCCCCC[n+]1ccccc1.[Br-],4.0569048510000005,test,3.9797506,cationic,0.0059527733181967,19
133,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],4.230448921,train,4.1262345,cationic,0.0108606389991611,20
134,CCCCCCCCCCCC[n+]1ccccc1.[I-],3.72427587,train,3.696775,cationic,0.0007563000747974,-1
135,CCCCCCCCCCCCC[n+]1ccccc1.[Br-],3.72427587,train,3.677104,cationic,0.0022251856705522,19
136,CCCCCCCCCCCCCC[n+]1ccccc1.[Br-],3.431363764,train,3.3364997,cationic,0.0089991923443428,19
137,CCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],3.544068044,train,3.427679,cationic,0.0135463951566837,20
138,CCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],3.113943352,train,2.9632702,cationic,0.0227024025372294,19
139,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],2.806179974,train,2.6249056,cationic,0.0328604036567927,19
140,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],2.954242509,test,2.732067,cationic,0.0493619087409487,20
141,CCCCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],2.380211242,train,2.2346272,cationic,0.0211946996418873,20
142,CCCCCCCCCCCC[N+](C)(C)CC.[Br-],4.146128036,train,4.003122,cationic,0.0204507684120509,14
143,CCCCCCCCCCCC[N+](C)(C)CCCC.[Br-],3.875061263,train,3.9142866,cationic,0.0015386281190515,14
144,CCCCCCCCCCCC[N+](C)(C)CCCCCC.[Br-],3.491361694,train,3.6301913,cationic,0.0192736667605047,14
145,CCCCCCCCCCCC[N+](C)(C)CCCCCCCC.[Br-],3.041392685,train,3.0968394,cationic,0.0030743413035413,14
146,CCCCCCCCCCCCCC[N+](CC)(CC)CC.[Br-],3.491361694,train,3.4782596,cationic,0.0001716658250528,-1
147,CCCCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],3.322219295,train,3.294002,cationic,0.0007962125699079,-1
148,CCCCCCCCCCCCCC[N+](CCCC)(CCCC)CCCC.[Br-],3.079181246,train,3.1822028,cationic,0.0106134438872267,-1
149,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],4.591064607,train,4.315782,cationic,0.0757804750891142,16
150,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],3.944482672,test,3.8032494,cationic,0.0199468486639925,-1
151,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],3.301029996,train,3.222105,cationic,0.0062291508508091,-1
152,CCCCCCCCCCCC[NH2+]CCO.[Cl-],4.653212514,train,4.6143174,cationic,0.0015128285593772,-1
153,CCCCCCCCCCCC[NH+]CCO.[Cl-],4.556302501,train,4.4802437,cationic,0.0057849438166515,-1
154,CCCCCCCCCCCC[N+]CCO.[Cl-],4.397940009,train,4.2590346,cationic,0.0192947033048818,-1
155,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],3.267171728,train,3.0968394,cationic,0.0290130924410052,14
156,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],2.245512668,train,1.9181186,cationic,0.1071868783303451,14
157,CCCCCCCCCCCCCCCC(=O)NC(C(=O)[O-])C(C)C.[Na+],3.278753601,train,3.2951984,anionic,0.000270432747883,18
158,CCCCCCCCCCCCCCCC(=O)NC(CC(C)C)C(=O)[O-].[Na+],3.176091259,train,3.1924562,anionic,0.0002678127806041,18
159,CCCCCCCCCCS(=O)(=O)[O-].[Na+],4.633468456,train,4.6120353,anionic,0.0004593812689712,13
160,CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],4.093421685,train,4.1464686,anionic,0.0028139793683338,13
161,CCCCCCCCCCCCS(=O)(=O)[O-].[Li+],4.041392685,train,4.146515,anionic,0.0110506785260984,13
162,CCCCCCCCCCCCS(=O)(=O)[O-].[NH4+],3.949390007,train,3.8928342,anionic,0.0031985608263252,13
163,CCCCCCCCCCCCS(=O)(=O)[O-].[K+],3.968482949,train,4.095995,anionic,0.0162593102309174,13
164,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.913813852,test,3.7073226,anionic,0.0426386381834714,12
165,CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],3.949390007,train,3.7397356,anionic,0.0439549689771667,12
166,CCCCCCCCC(CC)OS(=O)(=O)[O-].C[N+](C)(C)C,3.740362689,train,3.761619,anionic,0.0004518346274283,-1
167,CCCCCCCCC(CC)OS(=O)(=O)[O-].CCC[N+](CCC)(CCC)CCC,3.3424226810000004,train,3.1786108,anionic,0.0268343318008537,-1
168,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.322219295,train,3.30197,anionic,0.0004100337440704,12
169,CCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],4.201397124,train,4.192197,anionic,8.464511512453856e-05,12
170,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],3.591064607,train,3.3344307,anionic,0.065860965003956,12
171,CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],3.462397998,test,3.0357957,anionic,0.1819895303605422,12
172,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],1.397940009,train,1.194624,anionic,0.0413374210088139,12
173,CCCCCCCCC(CCCCCC)COCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],1.934498451,train,2.3715339,anionic,0.1909999580697518,-1
174,CCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],5.230448921,train,5.239033,anionic,7.369022706633712e-05,17
175,CCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],4.8195439360000005,train,4.681043,anionic,0.0191824682653273,17
176,CCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],4.342422681,train,4.259006,anionic,0.0069583387639908,17
177,CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],5.3010299960000005,train,4.9075975,anionic,0.1547890960106891,17
178,CCCCCOC(=O)CC(C(=O)OCCCCC)S(=O)(=O)[O-].[Na+],4.72427587,test,4.17396,anionic,0.3028473268598296,17
179,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],3.397940009,train,3.445899,anionic,0.0023000657485828,17
180,CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],2.959041392,train,2.926036,anionic,0.0010893637535669,17
181,CCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-].[Na+],3.352182518,train,3.2424703,anionic,0.0120367785823516,17
182,CCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],3.1303337680000003,train,3.0910826,anionic,0.0015406563138727,17
183,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],4.462397998,train,4.4689517,anionic,4.295103766523866e-05,23
184,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],4.477121255,train,4.742835,anionic,0.0706038181222104,23
185,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],4.51851394,test,3.698588,anionic,0.6722787201881557,23
186,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[Na+],4.477121255,train,4.74178,anionic,0.0700441476803886,23
187,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],3.69019608,train,3.624475,anionic,0.0043192600555192,23
188,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],3.799340549,train,3.9097037,anionic,0.0121800320596655,23
189,CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-].[Na+],3.1461280360000003,train,3.3185868,anionic,0.0297420343601769,17
190,CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],2.86332286,train,2.7114,anionic,0.0230805456543132,17
191,CCCCCCCCCC[N+](C)(C)CC(=O)[O-],4.255272505,train,4.2199063,zwitterionic,0.001250766326446,16
192,CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],3.301029996,test,3.3279066,zwitterionic,0.0007223523038583,16
193,CCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],2.342422681,train,2.1953406,zwitterionic,0.0216331287284637,16
194,CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],1.301029996,train,1.188076,zwitterionic,0.0127586008552562,16
195,CCCCCCCCCCCC[N+](C)(C)CCCC(=O)[O-],3.662757832,train,3.6600323,zwitterionic,7.428675466394666e-06,16
196,CCCCCCCCCCCC[N+](C)(C)CCCCCC(=O)[O-],3.414973348,train,2.8741112,zwitterionic,0.2925318896012778,16
197,CCCCCCCCCCCC[N+](C)(C)CCCCCCCC(=O)[O-],3.176091259,test,1.740359,zwitterionic,2.061327266817607,16
